date,open,low,high,close,adj_close,volume,shares_outstanding
2003-08-13,78.06,77.04,78.58,77.63,45.25,5374766,1804663800.0
2003-08-14,77.44,77.14,78.15,77.97,45.46,4772584,1804663800.0
2003-08-15,78.2,77.63,78.37,78.19,45.58,3790286,1804663800.0
2003-08-18,78.44,78.3,80.0,79.85,46.55,7162171,1804663800.0
2003-08-19,79.45,78.93,80.12,79.21,46.17,6608942,1804663800.0
2003-08-20,78.39,78.39,79.65,79.4,46.29,5052075,1804663800.0
2003-08-21,79.72,79.21,80.16,79.21,46.17,5423719,1804663800.0
2003-08-22,80.54,79.31,80.99,79.32,46.24,7776905,1804663800.0
2003-08-25,79.21,78.15,79.38,78.36,45.68,5387841,1804663800.0
2003-08-26,78.06,77.7,78.91,78.87,45.98,5825802,1804663800.0
2003-08-27,78.39,78.3,78.9,78.39,45.7,4010469,1804663800.0
2003-08-28,78.39,77.7,78.72,78.3,45.64,5770050,1804663800.0
2003-08-29,78.35,77.97,78.5,78.4,45.71,4416944,1804663800.0
2003-09-02,78.78,78.68,82.18,81.99,47.8,12977094,1804663800.0
2003-09-03,82.45,82.22,83.46,82.53,48.11,11334142,1804663800.0
2003-09-04,82.53,81.92,84.41,84.04,48.99,10343999,1804663800.0
2003-09-05,83.17,82.94,84.38,83.13,48.46,8259844,1804663800.0
2003-09-08,84.56,84.46,85.72,85.18,49.66,9637216,1804663800.0
2003-09-09,85.28,85.02,86.01,85.49,49.84,8475215,1804663800.0
2003-09-10,85.08,83.76,85.09,83.98,48.96,7659440,1804663800.0
2003-09-11,82.94,82.6,84.53,84.05,49.0,10202161,1804663800.0
2003-09-12,83.75,83.37,85.1,84.8,49.43,7540823,1804663800.0
2003-09-15,85.76,84.5,86.0,84.6,49.32,7641448,1804663800.0
2003-09-16,84.6,84.6,86.43,86.32,50.32,8259321,1804663800.0
2003-09-17,86.42,86.23,87.9,86.64,50.51,9504584,1804663800.0
2003-09-18,86.64,86.48,88.37,87.95,51.27,8722280,1804663800.0
2003-09-19,88.38,87.76,89.36,89.18,51.99,9845475,1804663800.0
2003-09-22,88.18,86.9,88.18,87.37,50.93,7638520,1804663800.0
2003-09-23,87.48,86.58,88.04,87.32,50.91,8300219,1804663800.0
2003-09-24,87.07,85.4,87.78,85.47,49.82,7924287,1804663800.0
2003-09-25,85.47,85.28,86.97,85.48,49.83,6888433,1804663800.0
2003-09-26,85.48,85.09,86.18,85.13,49.63,5330207,1804663800.0
2003-09-29,85.33,85.15,86.21,85.52,49.85,5986467,1804663800.0
2003-09-30,85.28,84.03,85.33,84.45,49.23,7381308,1801839600.0
2003-10-01,84.85,84.8,86.62,86.38,50.35,8289759,1801839600.0
2003-10-02,85.61,85.3,86.47,86.12,50.2,7770002,1801839600.0
2003-10-03,87.0,86.59,87.91,86.65,50.52,7823348,1801839600.0
2003-10-06,86.75,86.53,87.72,87.17,50.82,4022288,1801839600.0
2003-10-07,86.52,86.42,87.67,87.67,51.11,5616811,1801839600.0
2003-10-08,87.95,87.91,88.79,88.59,51.64,6714169,1801839600.0
2003-10-09,89.2,88.15,89.48,88.38,51.52,7942278,1801839600.0
2003-10-10,88.34,88.3,89.08,88.59,51.65,4707523,1801839600.0
2003-10-13,89.01,88.51,89.43,89.1,51.94,5061803,1801839600.0
2003-10-14,88.58,88.26,88.86,88.64,51.67,4915677,1801839600.0
2003-10-15,89.77,88.66,90.38,88.66,51.69,12090400,1801839600.0
2003-10-16,85.34,84.76,85.76,85.35,49.76,17775724,1801839600.0
2003-10-17,85.35,84.9,85.74,85.31,49.73,9943485,1801839600.0
2003-10-20,85.42,84.95,85.47,85.09,49.6,7291980,1801839600.0
2003-10-21,85.33,84.8,85.41,85.02,49.56,5530307,1801839600.0
2003-10-22,84.42,84.03,85.1,84.57,49.3,5857705,1801839600.0
2003-10-23,83.75,83.68,84.51,84.27,49.13,6324534,1801839600.0
2003-10-24,84.27,83.86,84.74,84.53,49.28,5723398,1801839600.0
2003-10-27,84.89,84.18,85.18,84.63,49.33,5333763,1801839600.0
2003-10-28,85.13,84.63,85.95,85.95,50.1,7279114,1801839600.0
2003-10-29,85.66,85.23,85.98,85.41,49.79,5419012,1801839600.0
2003-10-30,86.04,85.14,86.2,85.2,49.67,6836342,1801839600.0
2003-10-31,86.72,85.28,86.72,85.54,49.87,5058665,1801839600.0
2003-11-03,85.95,85.54,86.85,85.74,49.98,6093159,1801839600.0
2003-11-04,85.74,84.95,85.85,85.22,49.68,5382821,1801839600.0
2003-11-05,84.63,84.13,84.97,84.6,49.32,6585930,1801839600.0
2003-11-06,84.45,83.86,85.65,85.41,49.88,5929356,1801839600.0
2003-11-07,85.47,84.38,85.66,84.38,49.28,5798501,1801839600.0
2003-11-10,85.61,85.61,86.49,85.99,50.22,8733786,1801839600.0
2003-11-11,86.04,84.98,86.07,85.43,49.89,5063895,1801839600.0
2003-11-12,85.52,85.38,87.15,86.7,50.63,6173178,1801839600.0
2003-11-13,86.42,86.19,87.46,87.08,50.86,5520683,1801839600.0
2003-11-14,87.02,85.86,87.4,86.28,50.39,4717669,1801839600.0
2003-11-17,85.95,85.11,86.09,85.85,50.14,4966617,1801839600.0
2003-11-18,85.97,84.99,86.21,85.04,49.66,5527378,1801839600.0
2003-11-19,84.44,84.44,85.88,85.47,49.91,4347804,1801839600.0
2003-11-20,85.37,84.49,85.84,84.5,49.35,5346106,1801839600.0
2003-11-21,84.51,84.35,84.94,84.73,49.48,6208428,1801839600.0
2003-11-24,85.11,85.04,85.79,85.72,50.06,4939421,1801839600.0
2003-11-25,85.72,85.34,85.9,85.5,49.93,4503762,1801839600.0
2003-11-26,85.84,85.19,86.13,85.96,50.2,4337553,1801839600.0
2003-11-28,85.95,85.68,86.69,86.56,50.55,2296493,1801839600.0
2003-12-01,86.9,86.5,87.34,87.01,50.81,5475705,1801839600.0
2003-12-02,86.59,86.54,87.46,86.76,50.67,5326023,1801839600.0
2003-12-03,87.14,86.33,87.42,86.33,50.42,6453611,1801839600.0
2003-12-04,86.09,86.07,87.42,87.4,51.04,5606978,1801839600.0
2003-12-05,87.28,86.52,87.28,86.65,50.61,6148806,1801839600.0
2003-12-08,86.54,86.54,87.45,87.19,50.92,5587732,1801839600.0
2003-12-09,87.14,86.63,88.11,86.64,50.6,7292189,1801839600.0
2003-12-10,86.7,86.66,88.66,87.7,51.21,7466348,1801839600.0
2003-12-11,87.92,87.88,88.88,88.34,51.59,6707057,1801839600.0
2003-12-12,88.62,88.18,89.06,88.63,51.76,5313471,1801839600.0
2003-12-15,89.32,88.03,89.84,88.06,51.43,6238867,1801839600.0
2003-12-16,88.06,87.84,89.98,89.85,52.47,7846151,1801839600.0
2003-12-17,89.72,88.77,89.74,89.29,52.15,6331333,1801839600.0
2003-12-18,88.91,88.43,89.27,88.65,51.77,7189786,1801839600.0
2003-12-19,89.13,88.59,89.15,89.04,52.0,7416663,1801839600.0
2003-12-22,88.75,88.7,89.39,89.28,52.14,4531377,1801839600.0
2003-12-23,88.98,88.28,89.33,88.71,51.81,3846142,1801839600.0
2003-12-24,88.72,88.13,88.72,88.21,51.52,1841483,1801839600.0
2003-12-26,88.31,88.24,88.91,88.81,51.87,1473291,1801839600.0
2003-12-29,89.01,88.94,89.61,89.41,52.21,4219459,1801839600.0
2003-12-30,89.17,88.3,89.39,88.56,51.72,4187556,1801839600.0
2003-12-31,88.59,88.11,88.77,88.6,51.75,4944337,1769518200.0
2004-01-02,88.78,87.19,88.96,87.52,51.11,5572879,1769518200.0
2004-01-05,87.95,87.95,89.0,88.96,51.95,5519010,1769518200.0
2004-01-06,88.15,88.09,89.09,88.97,51.96,4581480,1769518200.0
2004-01-07,89.04,88.4,89.27,88.7,51.8,5154270,1769518200.0
2004-01-08,89.11,87.98,89.11,88.95,51.95,6464071,1769518200.0
2004-01-09,87.72,87.0,88.29,87.2,50.92,8295721,1769518200.0
2004-01-12,87.2,87.2,88.09,87.52,51.11,5366398,1769518200.0
2004-01-13,87.43,85.1,87.49,85.76,50.08,9249255,1769518200.0
2004-01-14,85.95,85.8,86.48,86.34,50.42,5758335,1769518200.0
2004-01-15,90.89,89.44,91.44,89.89,52.49,20723352,1769518200.0
2004-01-16,90.82,90.54,91.16,91.13,53.22,9729892,1769518200.0
2004-01-20,91.78,91.52,93.15,92.83,54.21,9712215,1769518200.0
2004-01-21,92.95,92.39,93.73,93.4,54.55,7268654,1769518200.0
2004-01-22,93.54,93.04,93.84,93.22,54.44,4572694,1769518200.0
2004-01-23,93.52,92.83,93.89,93.59,54.66,5526959,1769518200.0
