date,open,low,high,close,adj_close,volume
2000-08-25,151.16,150.94,151.62,151.25,99.15,2822200
2000-08-28,151.25,151.25,152.91,151.77,99.49,5518700
2000-08-29,151.44,150.91,151.88,151.8,99.51,3561900
2000-08-30,151.31,150.34,151.5,150.34,98.56,3964800
2000-08-31,151.06,150.91,153.09,152.34,99.87,4863100
2000-09-01,153.25,152.0,153.59,152.5,99.97,3191200
2000-09-05,151.88,150.81,152.2,151.28,99.17,3470800
2000-09-06,151.19,149.53,151.95,149.56,98.04,4322200
2000-09-07,150.25,149.83,151.08,150.84,98.88,4265500
2000-09-08,150.28,149.33,150.5,149.81,98.21,3518200
2000-09-11,149.75,148.69,151.19,149.59,98.06,3937500
2000-09-12,149.75,148.44,150.25,148.5,97.35,4769100
2000-09-13,148.0,147.66,149.34,148.89,97.6,7691600
2000-09-14,149.88,148.16,149.94,149.64,98.09,3397100
2000-09-15,148.19,146.0,148.25,146.0,95.95,4085700
2000-09-18,146.38,144.2,146.97,144.66,95.07,5109300
2000-09-19,145.12,144.7,146.31,145.97,95.93,6588200
2000-09-20,145.69,143.16,146.03,144.89,95.22,6508100
2000-09-21,144.47,142.62,145.56,142.69,93.78,5972300
2000-09-22,142.62,142.42,145.31,145.28,95.48,7791300
2000-09-25,145.94,143.72,146.06,144.25,94.8,9726300
2000-09-26,144.38,142.41,145.0,142.41,93.59,5302400
2000-09-27,143.56,142.12,143.97,143.16,94.09,7186200
2000-09-28,143.19,142.89,146.33,145.0,95.3,7036400
2000-09-29,145.47,143.62,145.97,143.62,94.39,9333600
2000-10-02,144.28,143.14,144.91,143.84,94.54,5517800
2000-10-03,144.53,142.28,145.75,142.5,93.65,9347200
2000-10-04,142.88,141.75,144.25,143.69,94.43,6148900
2000-10-05,143.41,143.31,144.84,144.19,94.76,4566900
2000-10-06,143.88,139.75,144.64,141.06,92.71,10014900
2000-10-09,141.31,139.38,141.31,140.0,92.01,4508000
2000-10-10,140.09,137.69,141.25,137.69,90.49,6104700
2000-10-11,137.62,135.12,138.62,136.53,89.73,10346000
2000-10-12,137.28,132.78,137.59,133.12,87.49,12336900
2000-10-13,132.94,132.88,137.66,137.56,90.41,11778800
2000-10-16,137.41,136.69,138.23,138.19,90.82,5659000
2000-10-17,138.44,134.41,138.56,134.75,88.56,7831700
2000-10-18,132.62,130.16,136.12,134.25,88.23,10897300
2000-10-19,136.84,136.44,139.45,139.31,91.56,8767300
2000-10-20,138.38,138.38,141.19,139.91,91.95,7373500
2000-10-23,139.94,138.94,141.03,140.53,92.36,5290000
2000-10-24,140.97,139.0,141.94,139.59,91.74,5750700
2000-10-25,138.75,136.12,139.56,136.31,89.59,9137600
2000-10-26,137.12,134.03,137.66,136.69,89.83,9345800
2000-10-27,137.88,136.62,139.28,139.28,91.54,9762900
2000-10-30,138.44,138.16,141.09,140.53,92.36,10154100
2000-10-31,141.02,140.06,143.69,142.95,93.95,7752400
2000-11-01,142.25,141.22,143.25,142.47,93.63,6753600
